[0.6923772261175084, -0.48480775301220824]
[0.6940574472067067, -0.52447644900175827]
[0.69839067322101178, -0.64867696623460935]
[0.7025311718803755, -0.87101953153373046]
[0.70321055266669119, -1.2027595104986268]
[0.70567857635117548, -1.6206654788237707]
[0.68332369389225223, -1.8691122246241607]
[0.399514049679567, -1.5973568672803278]
[0.022992299888165091, -1.3175613859685953]
[-0.35452253029822001, -1.1347355043828002]
[-0.74846118813137497, -1.0216983095613181]
[-1.1595844248533733, -0.9329425753096473]
[-1.5555762579624237, -0.8551870672063604]
[-1.8486272264112382, -0.74983980340058465]
[-1.7447710925398252, -0.5677370957359491]
[-1.3929985586344829, -0.47558000291035768]
[-1.0048697109365046, -0.49218555200108216]
[-0.65548472833137061, -0.58549649369948598]
[-0.35382804062095641, -0.75587590004153038]
[-0.0068247232657353551, -1.0141261164882645]
[0.45829594478289526, -1.2960587764246179]
[0.99728017489136278, -1.5191261619757943]
[1.3682483977912292, -1.3884560497536089]
[1.1955192617775006, -0.89629293621818551]
[0.84841157300542469, -0.49186196165663465]
[0.45376393892836936, -0.20815845934485933]
[0.057172319647652348, -0.021059092985574401]
[-0.33047835159768252, 0.089971782439369541]
[-0.71621046764660712, 0.10374888248674785]
[-1.0926081018255756, -0.012696795092289714]
[-1.4316681340340947, -0.27860114501026279]
[-1.6713666697133431, -0.6967123275953867]
[-1.6107453241479037, -1.1836021658274427]
[-1.0982740158427284, -1.4274434031792296]
[-0.50074216956433493, -1.5129521495059746]
[0.062055529272643906, -1.5710033322564878]
[0.57797782780818485, -1.6676035859535869]
[0.97630557738509949, -1.7400596425276924]
[1.1027618993671826, -1.4747839043381021]
[1.1575492918772947, -1.1017099598795632]
[1.2074402577318784, -0.79978629492115727]
[1.2559547262050532, -0.58975822971805525]
[1.3027677288934247, -0.47267017407329154]
[1.3482684687578663, -0.4505074241234015]
[1.3936131587359433, -0.5260042512566635]
[1.4391695355032197, -0.69990755997671539]
[1.4813333766523422, -0.96532832208440622]
[1.4911445570989357, -1.2757987257959285]
[1.2913178606663067, -1.4501312861221063]
[0.82845344212056848, -1.5199566073562638]
[0.26740339506658717, -1.6250751781310704]
[-0.37616779752241852, -1.7314461032008375]
[-1.0617252934730299, -1.6760002973147077]
[-1.4512495370468632, -1.187871995953707]
[-1.4685570245893762, -0.60440098089009064]
[-1.3311054350333811, -0.14815449532353853]
[-1.1288087780497364, 0.15779011729078851]
[-0.90379108865582181, 0.32479448330691785]
[-0.67394637528418855, 0.36893035892332704]
[-0.44440464499942817, 0.30560975529198953]
[-0.2093797128051299, 0.1571215585600515]
[0.054915218276610944, -0.039916415279290129]
[0.37912798284592603, -0.25893041047874199]
[0.75373147263777396, -0.52761117436673088]
[1.1198814312867347, -0.89353790741533679]
[1.3552483572056728, -1.3514628638455617]
[1.0783730570169332, -1.511252789860722]
[0.57239520900626373, -1.2817369758846695]
[0.12080451822922789, -0.99211051295842645]
[-0.21123015874273587, -0.70962286777479711]
[-0.45380189459812159, -0.50656972771294373]
[-0.72594211386481522, -0.38220756666864319]
[-1.0673762971570273, -0.30393010528511466]
[-1.4383981768130822, -0.29826040559779798]
[-1.7710339801917061, -0.40821977317166269]
[-1.896572131782579, -0.63466189679007656]
[-1.6367555586884435, -0.83195446346566948]
[-1.2418604428979185, -0.99346353618614414]
[-0.82133789156278958, -1.1598516448615674]
[-0.40987646853698767, -1.3543193894641017]
[-0.013793394613509813, -1.6143386570078899]
[0.33912518339182424, -1.9058348897688751]
[0.5298808554572958, -1.8161314046074941]
[0.68788440746798307, -1.4143413100947009]
[0.85370496685852537, -1.0646406904989965]
[1.0205935680657519, -0.80405314256428317]
[1.1863737766063571, -0.62270688432302168]
[1.3470700644594273, -0.51875153616629155]
[1.5021604748707553, -0.50017089750851618]
[1.6522006785826449, -0.57210705429373143]
[1.7825301923043613, -0.72194096040550815]
[1.7867478712203453, -0.88435603585716716]
[1.5120315729134755, -1.0294603172254693]
[1.0933205392850693, -1.2403447023250147]
[0.59316012074997737, -1.5255231844285719]
[-0.024937027846977711, -1.8162269060268417]
[-0.74085254774567799, -1.8576998668442153]
[-1.1948315853940779, -1.3438247187484911]
[-1.3518258564706001, -0.75026322776736465]
[-1.370699344313985, -0.26941173404913299]
[-1.3347189218343298, 0.080447118973438925]
[-1.282453858494655, 0.31390801127528256]
[-1.2265716538577212, 0.4431051858357945]
[-1.1705179479781807, 0.47405685535247494]
[-1.11571490404374, 0.41112492226001418]
[-1.0639885402408515, 0.26043970941293559]
[-1.01841382877496, 0.02847250182804395]
[-0.97705410748644761, -0.29203334179932039]
[-0.90314054455305792, -0.73297966535059178]
[-0.70752406597431905, -1.2958255087887152]
[-0.30371963370145877, -1.8639170807581844]
[0.30531219663172876, -1.8682987363874446]
[0.70928628805925964, -1.3001160033991934]
[0.90367661223131679, -0.73526581826252047]
[0.97506845029483458, -0.29237977576167229]
[1.0128361486477993, 0.029183071157130591]
[1.0544477370238734, 0.2617537147446698]
[1.1021214070286156, 0.41326793872482404]
[1.15287889550244, 0.47755032676163783]
[1.2050129722242244, 0.4486286672897693]
[1.2573426624352393, 0.32242952184760476]
[1.3070053752858257, 0.093399836747552145]
